"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
54327905,,,1.037,0.3527,34.80
54327908,,,2.426,0.5392,1.32
54327907,,,3.238,0.7851,6.33
54327909,,,0.9629,0.3647,1.00
54327910,,,1.916,0.4333,3.65
54327911,,,2.361,0.5365,3.82
54327912,,,1.299,0.2552,21.67
54327914,,,1.993,0.3684,9.85
54327913,,,1.086,0.1329,2.59
54328003,,,1.561,0.3603,24.13
54328005,,,0.9046,0.1644,7.17
54328006,,,2.18,0.6706,8.93
54328007,,,1.148,0.1452,8.72
54328008,,,1.769,0.3946,5.10
54328009,,,2.356,0.6641,2.32
54328010,,,1.282,0.2127,8.79
54328011,,,2.545,0.6134,7.17
54328012,,,0.8562,0.2225,4.14
54328013,,,1.749,0.6439,6.10
54328014,,,1.107,0.1661,8.11
54328016,,,0.9461,0.2626,20.16
54328015,,,1.569,0.4368,20.00
54328059,,,1.373,0.2306,14.24
54328060,,,2.511,0.6103,1.82
54328061,,,2.924,0.6141,11.72
54328062,,,1.773,0.5209,0.73
54328063,,,2.293,0.5884,6.40
54328064,,,0.923,0.2264,7.32
54328065,,,1.397,0.2784,10.02
54328067,,,1.068,0.1281,4.22
54328066,,,1.968,0.3963,50.97
54328068,,,2.205,0.5916,9.87
54328069,,,1.434,0.2839,15.52
54328070,,,1.83,0.4448,17.74
54328071,,,1.598,0.2451,29.19
54328072,,,2.612,0.6216,23.61
54328073,,,0.9675,0.1700,14.22
54328074,,,1.352,0.3240,35.75
54328413,,,1.555,0.3510,10.31
54328414,,,1.102,0.1527,27.95
54328415,,,1.789,0.4653,12.82
54328416,,,1.356,0.2088,23.97
54328939,,,1.458,0.4525,13.77
54328940,,,1.698,0.4316,7.60
54328941,6.279,,2.846,0.6814,6.18
54328942,,,1.097,0.1684,22.38
54328943,,,0.8771,0.3240,25.23
54328944,,,1.778,0.3850,27.98
54329154,,,1.979,0.7348,7.56
54329155,,,1.08,0.3556,7.14
54329156,,,2.215,0.5133,13.99
54329157,,,1.996,0.5209,1.06
54329158,,,1.525,0.4049,0.96
54329159,,,1.963,0.5198,2.30
54329160,,,1.668,0.4502,12.70
54329162,,,1.36,0.2832,17.84
54329161,,,0.9531,0.2254,12.05
54329163,,,1.705,0.7137,10.62
54329164,,,1.963,0.4756,12.61
54329165,,,1.718,0.5555,10.79
54329166,,,1.563,0.4570,9.77
54329167,,,2.211,0.6775,2.92
54329168,,,2.247,0.6097,2.74
54329169,,,1.476,0.2684,34.13
54329170,,,1.08,0.1790,17.34
54329621,,,1.335,0.2366,4.95
54329622,,,1.562,0.3324,6.22
54329623,,,1.849,0.4787,9.11
54329624,,,1.946,0.5791,5.20
54329625,,,1.736,0.4042,10.28
54329626,,,2.737,0.6283,3.06
54329627,,,1.452,0.3602,9.24
54329628,,,1.071,0.2758,3.28
54329629,,,1.517,0.3729,7.79
54329631,,,1.291,0.2249,15.72
54329632,,,1.169,0.2651,2.25
54329634,,,2.409,0.7461,0.32
54329633,,,1.427,0.3196,21.48
54329635,,,0.8309,0.2657,6.32
54329636,,,1.475,0.3242,19.57
54329638,,,2.521,0.6263,0.55
54329637,,,2.072,0.5533,9.56
54329639,,,1.46,0.2097,27.17
54329640,,,2.119,0.7095,3.99
54329641,,,2.559,0.5066,3.84
54329644,,,1.987,0.4288,3.90
54329646,,,1.634,0.3462,4.92
54329642,,,1.986,0.6392,0.23
54329645,,,1.159,0.2210,3.48
54329643,,,2.048,0.4655,2.33
54330033,,,2.279,0.4627,5.06
54330034,,,2.579,0.5444,7.99
54330035,,,1.234,0.1328,7.63
54330036,,,1.634,0.3274,16.67
54330037,,,2.454,0.6295,0.89
54330038,,,3.114,0.6973,45.18
54330039,,,1.018,0.0474,19.89
54330040,,,2.068,0.4721,4.57
54330041,,,1.019,0.1959,15.69
54330042,,,1.705,0.4704,1.08
54330293,,,1.572,0.2837,10.31
54330294,,,2.672,0.6022,7.59
54330295,,,1.559,0.3954,25.41
54330296,,,2.544,0.5124,27.13
54330297,,,1.237,0.1491,12.16
54330300,,,1.236,0.1845,29.88
54330299,,,1.495,0.3090,2.49
54330298,,,1.673,0.4883,22.67
54330301,,,1.047,0.0377,9.05
54330302,,,1.463,0.2555,8.97
54330303,,,1.954,0.4980,2.96
54330304,,,2.018,0.5007,11.35
54330305,,,1.71,0.4317,7.38
54330307,,,1.975,0.4932,3.90
54330306,,,1.62,0.3911,14.70
54330566,,,1.187,0.1777,1.21
54330567,,,1.856,0.4014,9.45
54330568,,,1.91,0.5689,6.11
54330569,,,2.24,0.5484,4.69
54330570,,,1.671,0.7367,49.50
54330571,,,1.944,0.5033,17.82
54330572,,,2.844,0.6453,12.22
54330573,,,1.252,0.2038,27.79
54330574,,,1.837,0.4002,9.46
54330575,,,1.303,0.4804,5.43
54330576,,,1.521,0.3389,20.80
54330577,,,2.547,0.5981,4.28
54330579,,,2.257,0.6596,2.32
54330578,,,1.338,0.2135,3.64
54330580,,,0.8994,0.2091,7.00
54330582,,,1.031,0.1903,3.31
54330583,,,0.9721,0.4084,9.86
54330585,,,2.75,0.6927,19.82
54330584,,,1.899,0.4796,11.80
54330720,,,1.342,0.2274,12.45
54330721,,,2.101,0.5329,3.05
54330722,,,2.222,0.6704,27.95
54330723,,,2.086,0.8270,1.17
54330724,,,0.8661,0.4111,1.40
54330725,,,1.545,0.4215,11.64
54330727,,,2.171,0.4687,5.70
54330729,,,1.445,0.1075,26.27
54330726,,,0.9302,0.2568,9.80
54330730,,,1.499,0.5599,15.31
54330731,,,1.379,0.1765,25.11
54330728,,,2.517,0.5953,12.10
54330733,,,2.503,0.7633,8.11
54330735,,,1.451,0.3225,0.69
54330732,,,2.318,0.6290,7.47
54330736,,,0.9387,0.3971,16.98
54330734,,,1.501,0.3898,2.60
54330738,,,1.288,0.3192,8.84
54330737,,,1.453,0.2147,27.86
54330914,,,1.561,0.4751,0.96
54330915,,,1.65,0.2682,29.76
54330917,,,1.618,0.3791,4.20
54330918,,,1.359,0.1090,16.58
54330919,,,1.729,0.3394,0.95
54331160,,,1.549,0.1632,1.57
54330921,,,1.185,0.2787,2.29
54330920,,,1.258,0.3477,11.34
54330922,,,1.967,0.5176,9.31
54330926,,,1.169,0.2522,14.34
54330927,,,1.84,0.5431,2.17
54330928,,,1.393,0.3111,27.73
54331169,,,1.966,0.4990,27.65
54331168,,,2.575,0.6147,7.99
54331171,,,1.46,0.5787,4.57
54331170,,,1.931,0.4646,8.37
54331172,,,1.027,0.2128,8.18
54331173,,,2.184,0.5736,1.04
54331174,,,1.361,0.2397,26.26
54331175,,,1.131,0.4321,6.57
54331176,,,1.33,0.1928,7.91
54331178,,,2.399,0.5514,35.41
54331534,,,2.238,0.4265,6.09
54331631,,,1.098,0.3674,16.07
54331701,,,1.389,0.2513,9.56
54331801,,,2.197,0.4820,24.12
54331806,,,1.249,0.2117,11.86
54333187,,,2.476,0.5400,28.57
54334002,,,1.448,0.5337,16.15
54334003,,,2.755,0.7993,36.97
54334004,,,1.976,0.5625,3.34
54334006,,,2.486,0.6907,2.26
54334582,,,1.464,0.3675,13.13
54335611,,,1.39,0.2663,2.20
54337030,,,2.824,0.5775,9.73
54354669,,,2.807,0.6534,2.65
54354670,,,1.93,0.4934,12.06
54354668,,,2.541,0.6111,1.60
54330923,,,1.897,0.5095,8.42
54330924,,,1.963,0.5194,4.83
54330925,,,1.188,0.3217,13.50
54331179,,,1.944,0.4901,4.69
54331177,,,1.687,0.6303,2.06
54331291,,,2.751,0.6334,5.89
54331535,,,1.752,0.4581,2.04
54331536,,,1.818,0.4517,21.59
54331537,,,1.51,0.4027,10.38
54331629,,,0.9107,0.3687,6.08
54331630,,,1.141,0.3088,4.32
54331668,,,1.397,0.3610,4.41
54331669,,,1.535,0.4639,4.09
54331670,,,1.651,0.4225,7.32
54331800,,,1.457,0.2334,16.06
54331802,,,1.619,0.5108,46.27
54332004,,,2.722,0.6418,5.17
54332005,,,0.692,0.5566,10.34
54332006,,,2.634,0.6394,16.21
54332007,,,1.514,0.3648,22.08
54332008,,,1.71,0.4361,36.64
54332189,,,1.176,0.2371,5.20
54332190,,,1.352,0.2602,4.11
54332191,,,1.892,0.6428,5.65
54332192,,,1.551,0.3338,15.02
54332193,,,1.071,0.2515,4.07
54332194,,,1.816,0.4592,6.05
54332729,,,2.531,0.8346,9.53
54332730,,,1.774,0.6219,19.66
54334001,,,2.601,0.6993,15.72
54334005,,,1.405,0.9358,20.90
54334007,,,2.002,0.5028,9.12
54334008,,,1.806,0.5515,5.23
54334009,,,1.987,0.7241,7.37
54334010,,,1.046,0.2238,10.89
54334581,,,1.433,0.3381,25.18
54334584,,,1.148,0.0740,13.63
54334586,,,1.957,0.4524,14.55
54335006,,,1.211,0.2451,9.11
54335010,,,2.385,0.7801,7.23
54335224,,,2.241,0.5509,5.42
54335233,,,1.439,0.2642,2.02
54335604,,,2.286,0.4351,4.92
54335614,,,1.303,0.3833,7.99
54336056,,,1.769,0.4819,27.15
54336063,,,1.466,0.4023,9.25
54336808,,,1.364,0.2173,15.78
54336807,,,0.6972,0.7417,23.07
54337028,,,2.322,0.4946,2.11
54339169,,,1.605,0.2716,3.59
54339171,,,2.569,0.5216,24.98
54334583,,,2.206,0.7162,6.84
54334585,,,1.247,0.2063,9.37
54334587,,,1.229,0.2376,0.15
54334588,,,2.471,0.8062,4.96
54334589,,,0.802,0.5861,9.46
54334590,,,2.422,0.5962,5.06
54335005,,,1.001,0.1954,2.35
54335008,,,0.7851,0.3507,8.63
54335007,,,2.275,0.7851,3.49
54335009,,,1.097,0.1222,2.93
54335221,,,1.046,0.2038,3.21
54335220,,,2.73,0.6090,2.31
54335222,,,2.482,0.5837,2.89
54335223,,,1.931,0.5197,3.45
54335225,,,1.368,0.3119,7.01
54335226,,,1.514,0.5107,9.54
54335227,,,1.393,0.5586,15.96
54335228,,,1.123,0.3382,29.61
54335229,,,1.256,0.1221,21.24
54335457,,,1.914,0.3210,14.49
54335231,,,1.983,0.5271,0.44
54335230,,,1.741,0.3772,28.84
54335232,,,1.339,0.1909,27.95
54335235,,,1.158,0.4558,8.96
54335234,,,1.429,0.3400,1.43
54335236,,,1.663,0.2983,26.57
54335237,,,1.87,0.3249,21.37
54335238,,,1.261,0.1893,6.24
54335239,,,1.712,0.5943,6.87
54335240,,,2.556,0.5799,13.83
54335242,,,1.454,0.4681,7.44
54335241,,,2.005,0.4631,3.46
54335458,,,1.305,0.4215,4.95
54335459,,,0.8697,0.1372,1.13
54335460,,,1.272,0.2536,2.57
54335461,,,1.588,0.4957,13.62
54335605,,,2.221,0.4642,23.56
54335606,,,1.9,0.5236,6.43
54335607,,,1.688,0.4061,2.52
54335608,,,1.812,0.5351,42.34
54335609,,,1.715,0.4643,18.53
54335610,,,2.585,0.6513,1.02
54335612,,,1.417,0.2426,14.28
54335613,,,1.587,0.2853,28.66
54336055,,,1.087,0.2507,0.66
54336054,,,2.549,0.6640,11.23
54336057,,,1.781,0.4324,40.57
54336058,,,1.944,0.5292,4.82
54336059,,,0.9176,0.2166,28.58
54336060,,,1.892,0.4681,28.70
54336061,,,0.972,0.2541,19.88
54336062,,,1.873,0.4737,1.75
54336230,,,1.189,0.1794,11.17
54336231,,,1.08,0.3557,12.84
54336232,,,1.492,0.2456,25.67
54336233,,,1.364,0.1687,22.35
54336234,,,0.7399,0.3801,10.09
54336235,,,2.679,0.7560,19.23
54336236,,,1.481,0.3663,2.84
54336237,,,1.39,0.4919,2.74
54336238,,,2.465,0.6245,6.79
54336239,,,1.587,0.4001,33.69
54336241,,,2.749,0.5937,23.68
54336240,,,1.075,0.1618,2.73
54336243,,,1.758,0.5178,8.76
54336242,,,1.241,0.1329,9.50
54336526,,,0.8831,0.2725,2.44
54336527,,,1.904,0.5376,3.54
54336528,,,2.061,0.5804,5.51
54336529,,,1.669,0.3942,7.63
54336530,,,1.39,0.7612,2.55
54336612,,,2.049,0.5272,4.85
54336613,,,2.245,0.4959,15.70
54336614,,,0.9381,0.2389,18.37
54336615,,,1.271,0.2307,14.43
54336616,,,1.854,0.5360,2.31
54336617,,,2.397,0.6706,5.52
54336618,,,2.349,0.6872,3.32
54336619,,,0.9197,0.1488,10.80
54336620,,,1.484,0.4726,5.50
54336621,,,1.413,0.4012,13.72
54336622,,,1.976,0.7302,7.24
54336623,,,2.476,0.6048,1.59
54336624,,,1.715,0.2857,28.93
54336626,,,2.331,0.6345,17.39
54336625,,,1.579,0.3698,7.62
54336627,,,1.097,0.2681,1.51
54336628,,,1.499,0.3972,24.16
54336629,,,1.193,0.1633,26.61
54336631,,,2.336,0.5775,0.46
54336630,,,2.034,0.5307,3.49
54336632,,,1.558,0.4571,12.20
54336633,,,2.594,0.5390,5.91
54336634,,,1.513,0.3906,3.10
54336635,,,2.503,0.6959,8.43
54336636,,,1.686,0.5895,2.82
54336637,,,1.289,0.9044,13.74
54336638,,,1.004,0.4456,7.03
54336639,,,1.952,0.3744,5.86
54336640,,,1.62,0.3662,16.02
54336641,,,1.236,0.2546,2.98
54336642,,,1.14,0.1427,1.62
54336644,,,0.9372,0.0729,1.60
54336643,,,1.201,0.1468,21.58
54336801,,,2.261,0.5829,19.20
54336802,,,0.9322,0.2949,20.19
54336803,,,2.377,0.5510,5.18
54336804,,,1.88,0.4902,7.54
54336805,,,1.389,0.3506,1.02
54336806,,,2.057,0.5185,2.71
54336809,,,2.024,0.5308,5.20
54336810,,,1.236,0.1704,14.67
54336811,,,2.502,0.5954,16.91
54336812,,,1.424,0.5136,52.01
54336899,,,1.392,0.2365,0.36
54336900,,,1.33,0.4955,4.35
54336901,,,2.089,0.5712,1.12
54336902,,,1.706,0.5525,1.19
54336903,,,1.412,0.2809,25.88
54336904,,,1.727,0.5409,9.16
54336905,,,1.081,0.3336,23.71
54336906,,,1.761,0.6235,6.05
54336907,,,0.921,0.1541,9.33
54336908,,,0.9745,0.1769,11.51
54336909,,,2.201,0.4246,15.03
54336911,,,1.386,0.3781,7.66
54336910,,,1.207,0.1829,7.24
54336913,,,2.399,0.7072,9.18
54336912,,,1.062,0.3981,28.44
54336914,,,1.007,0.0257,11.13
54336954,,,1.929,0.4724,26.83
54336955,,,2.616,0.6597,12.93
54336956,,,1.023,0.2424,14.49
54336957,,,1.864,0.5080,10.86
54336958,,,1.766,0.4605,9.71
54336959,,,2.584,0.8014,10.24
54336960,,,1.447,0.3079,21.70
54336961,,,1.982,0.5690,1.14
54336962,,,2.172,0.5380,6.66
54336964,,,1.362,0.2893,31.64
54336963,,,0.9709,0.2818,13.13
54336966,,,1.18,0.2391,33.92
54336965,,,1.158,0.0802,19.59
54336967,,,2.482,0.5926,10.10
54337025,,,2.403,0.5623,2.47
54337026,,,1.024,0.0720,17.03
54337027,,,1.029,0.1658,21.31
54337031,,,1.281,0.3366,0.75
54337032,,,1.67,0.5276,7.78
54337033,,,0.9007,0.2978,30.51
54337423,,,1.954,0.4580,2.46
54337424,,,2.777,0.8110,2.66
54337425,,,0.6838,0.4873,2.64
54337572,,,1.329,0.2695,23.55
54337574,,,1.072,0.0317,10.56
54337575,,,2.509,0.8581,3.83
54337576,,,1.407,0.3119,5.48
54337577,,,2.093,0.6993,6.46
54337705,,,1.933,0.3888,4.46
54337706,,,1.695,0.2693,36.95
54337707,,,1.202,0.7730,27.17
54338282,,,0.6886,0.6151,27.08
54339178,,,2.055,0.5840,22.73
54339179,,,1.816,0.5264,8.74
54339180,,,1.673,0.3187,15.63
54340315,,,2.822,0.6467,9.23
54357155,,,2.729,0.5862,13.30
54337703,,,1.19,0.1360,18.11
54337704,,,1.8,0.5036,1.01
54338280,,,2.844,0.6555,3.02
54338281,,,1.339,0.4624,3.74
54338283,,,2.501,0.4949,32.68
54338657,,,1.622,0.3434,11.50
54338661,,,1.279,0.2472,3.42
54338670,,,1.107,0.1056,7.00
54338671,,,0.8041,0.4166,5.41
54338672,,,2.345,0.5522,1.68
54338673,,,2.066,0.4941,8.92
54338674,,,1.984,0.6000,5.82
54338675,,,1.962,0.5350,8.83
54338707,,,2.036,0.6871,4.09
54338708,,,2.124,0.7551,11.54
54338709,,,1.842,0.8464,7.07
54338710,,,1.115,0.1624,9.26
54338712,,,1.286,0.2548,9.25
54338711,,,1.71,0.4372,0.43
54338713,,,1.133,0.3972,10.65
54338714,,,0.9884,0.2655,3.12
54338715,,,1.289,0.2331,4.13
54338716,,,1.333,0.2523,3.89
54338717,,,3.076,0.8322,28.22
54338826,,,1.841,0.5603,7.17
54338827,,,2.487,0.6093,19.18
54338828,,,0.9313,0.1728,4.88
54338829,,,2.336,0.7358,9.29
54338830,,,1.537,0.3185,17.17
54338832,,,1.701,0.5352,66.25
54338833,,,2.514,0.5833,1.42
54338831,,,2.454,0.5861,1.35
54338887,,,1.134,0.1742,6.38
54338888,,,1.111,0.2683,20.53
54338889,,,2.213,0.5211,4.71
54338890,,,1.039,0.2763,9.85
54338891,,,1.946,0.6078,1.73
54338971,,,1.746,0.2947,31.44
54338972,,,1.827,0.4464,4.79
54338973,,,1.368,0.2492,5.14
54338974,,,1.134,0.2954,23.58
54338975,,,1.897,0.4877,2.03
54338976,,,2.809,0.5627,4.69
54338978,,,2.41,0.6028,9.63
54338977,,,1.883,0.4844,6.08
54339156,,,2.535,0.6193,6.45
54339170,,,1.043,0.4767,7.15
54339172,,,1.856,0.4023,6.86
54339173,,,1.649,0.3704,13.06
54339174,,,2.383,0.5403,4.22
54339175,,,2.069,0.4918,0.86
54339176,,,1.987,0.5851,1.61
54339183,,,1.386,0.2700,2.46
54339217,,,2.56,0.5324,5.79
54339968,,,1.372,0.1405,26.27
54339973,,,1.917,0.4421,9.03
54357453,,,2.03,0.5773,11.45
54339177,,,1.872,0.4704,16.82
54339182,,,1.515,0.4814,4.59
54339185,,,1.919,0.5730,7.06
54339184,,,2.367,0.5294,7.12
54339213,,,1.146,0.1387,12.20
54339214,,,0.982,0.3043,11.08
54339216,,,2.254,0.6233,12.94
54339215,,,1.678,0.3306,34.48
54339241,,,1.707,0.4258,15.25
54339242,,,1.466,0.3322,28.94
54339243,,,1.743,0.4120,11.53
54339244,,,1.717,0.3141,11.33
54339245,,,1.861,0.5071,1.67
54339246,,,1.377,0.3234,26.98
54339757,,,1.992,0.5117,10.71
54339758,,,2.525,0.5600,21.06
54339759,,,1.107,0.1111,3.75
54339760,,,0.9507,0.1432,5.51
54339761,,,1.662,0.3457,1.60
54339762,,,0.8317,0.4295,0.90
54339763,,,2.503,0.6088,2.48
54339764,,,1.204,0.3449,13.96
54339765,,,0.7226,0.5908,10.83
54339871,,,1.773,0.4876,2.72
54339872,,,1.153,0.1127,20.33
54339873,,,1.968,0.5741,11.58
54339874,,,1.07,0.1747,21.25
54339875,,,1.322,0.7092,2.51
54339876,,,1.273,0.0855,20.95
54339877,,,1.173,0.2421,10.06
54339879,,,1.49,0.3107,31.68
54339878,,,2.138,0.5736,6.30
54339880,,,2.506,0.6089,3.72
54339881,,,1.965,0.5003,3.79
54339882,,,1.146,0.4069,23.50
54339963,,,1.707,0.4114,1.87
54339964,,,1.698,0.5110,2.66
54339965,,,1.223,0.3408,10.43
54339966,,,0.7428,0.3955,2.64
54339967,,,1.21,0.0916,19.70
54339969,,,1.978,0.5109,9.96
54339970,,,1.542,0.3510,4.80
54339971,,,1.8,0.4357,7.90
54339972,,,1.413,0.3975,1.46
54339974,,,1.792,0.4904,9.28
54339975,,,1.636,0.3612,2.00
54339976,,,0.9682,0.2745,11.67
54339977,,,1.296,0.2763,6.38
54340039,,,2.733,0.6436,26.61
54340040,,,1.158,0.2553,2.12
54340041,,,1.374,0.4868,2.61
54340046,,,2.266,0.7065,8.49
54340043,,,1.932,0.4879,2.67
54340042,,,1.557,0.3452,0.44
54340044,,,1.997,0.4504,6.92
54340045,,,1.96,0.6481,4.98
54340047,,,1.693,0.4036,22.21
54340048,,,1.381,0.3479,5.82
54340097,,,2.404,0.4890,13.40
54340098,,,1.512,0.4092,5.52
54340099,,,2.545,0.5704,30.38
54340100,,,1.973,0.5004,0.77
54340101,,,0.7497,0.3775,7.30
54340102,,,2.559,0.5960,19.69
54340105,,,2.699,0.6307,14.10
54340103,,,2.209,0.4303,9.27
54340106,,,1.01,0.3994,15.02
54340104,,,1.859,0.4472,33.28
54340107,,,1.795,0.4481,13.14
54340108,,,1.396,0.1557,17.84
54340109,,,2.323,0.5290,4.08
54340152,,,1.93,0.4814,9.54
54340153,,,2.067,0.5133,6.94
54340154,,,0.9775,0.2062,1.54
54340155,,,2.342,0.6129,8.23
54340156,,,1.881,0.5358,3.15
54340157,,,1.192,0.2771,2.12
54340158,,,3.405,0.6495,3.67
54340159,,,2.375,0.5732,0.39
54340255,,,1.7,0.4703,22.58
54340256,,,1.544,0.1948,15.98
54340257,,,2.391,0.4752,19.58
54340258,,,1.253,0.5759,29.57
54340259,,,1.623,0.2942,10.53
54340260,,,2.371,0.5786,2.78
54340261,,,1.551,0.3799,0.53
54340262,,,2.778,0.6356,3.55
54340263,,,1.465,0.3102,13.66
54340264,,,2.053,0.6124,7.25
54340265,,,1.422,0.3193,7.34
54340266,,,1.238,0.1661,2.28
54340267,,,1.193,0.2412,2.90
54340270,,,1.887,0.4874,3.93
54340268,,,0.8961,0.2209,10.69
54340269,,,0.8865,0.1447,11.73
54340271,,,1.886,0.6764,10.39
54340272,,,1.094,0.1593,36.91
54340273,,,1.329,0.2475,1.04
54340275,,,1.333,0.4059,2.25
54340274,,,2.216,0.5786,5.75
54340276,,,1.278,0.4330,3.41
54340277,,,2.469,0.6164,1.32
54340303,,,1.372,0.2471,13.39
54340304,,,1.923,0.5522,2.59
54340306,,,1.214,0.1618,3.60
54340305,,,1.649,0.3980,8.07
54340307,,,1.6,0.4085,15.65
54340308,,,1.358,0.2534,5.57
54340309,,,1.391,0.3762,6.04
54340310,,,2.004,0.5008,5.32
54340311,,,1.484,0.1781,14.99
54340313,,,1.062,0.1385,11.82
54340312,,,1.818,0.4514,9.30
54340314,,,0.9781,0.1493,16.77
54340316,,,1.066,0.3844,13.52
54340318,,,1.964,0.5986,5.02
54340317,,,1.893,0.3714,10.65
54340319,,,1.057,0.5013,18.17
54340321,,,1.1,0.2485,4.58
54340322,,,0.7809,0.3314,5.00
54340320,,,1.522,0.6617,4.95
54340388,,,1.192,0.1529,16.45
54340386,,,1.644,0.2975,7.90
54340387,,,1.314,0.2443,5.61
54340390,,,1.171,0.1907,2.25
54340389,,,1.056,0.2840,3.10
54340428,,,2.362,0.5274,10.91
54340429,,,0.9507,0.3212,18.52
54340430,,,1.05,0.0642,0.96
54340431,,,1.341,0.2325,8.31
54340432,,,1.61,0.3930,17.85
54340434,,,1.793,0.4692,19.07
54340433,,,1.382,0.3605,30.59
54340435,,,1.259,0.1942,16.60
54340436,,,1.85,0.3588,10.28
54340437,,,1.441,0.4139,1.99
54340438,,,2.027,0.5418,15.75
54340440,,,1.31,0.3970,28.29
54340441,,,1.191,0.2861,5.14
54340442,,,1.481,0.2879,20.89
54340443,,,1.095,0.2426,14.36
54340444,,,1.62,0.4196,7.90
54340445,,,1.563,0.3706,6.21
54340446,,,1.964,0.7112,17.15
54340468,,,2.196,0.6400,1.25
54340469,,,1.914,0.3242,21.04
54340472,,,1.991,0.3725,8.59
54340471,,,1.504,0.3132,22.26
54340712,,,0.662,0.5861,30.18
54340778,,,1.36,0.2707,7.29
54340780,,,1.097,0.0551,44.44
54340802,,,2.543,0.8066,12.03
54341419,,,1.371,0.1457,25.37
54341445,,,2.863,0.6379,4.34
54341458,,,1.74,0.2887,28.36
54341465,,,2.243,0.7134,12.12
54341468,,,1.059,0.0366,7.39
54341521,,,2.472,0.4772,8.10
54342222,,,2.976,0.5718,22.01
54340470,,,1.769,0.5360,0.97
54340473,,,2.03,0.4979,8.26
54340474,,,0.8662,0.3138,3.62
54340710,,,0.9818,0.1189,9.91
54340711,,,1.181,0.1521,30.67
54340713,,,2.101,0.9315,1.03
54340714,,,1.865,0.6711,2.45
54340779,,,1.93,0.4799,4.11
54340781,,,2.275,0.5331,20.63
54340798,,,2.483,0.6096,5.93
54340799,,,1.308,0.1963,19.03
54340800,,,2.213,0.6147,1.46
54340801,,,2.655,0.6566,2.93
54340958,,,1.901,0.4799,1.87
54341437,,,1.427,0.2852,2.43
54341438,,,1.347,0.3532,3.63
54341439,,,2.141,0.5374,6.61
54341441,,,2.22,0.6390,10.84
54341440,,,1.513,0.3782,20.20
54341442,,,1.01,0.1650,0.93
54341443,,,1.28,0.2614,33.91
54341444,,,1.192,0.2111,9.98
54341457,,,2.448,0.5268,15.67
54341459,,,1.039,0.1622,18.90
54341460,,,2.385,0.5446,10.43
54341461,,,1.464,0.3183,20.09
54341462,,,2.057,0.5187,1.32
54341463,,,1.988,0.5300,11.17
54341464,,,1.066,0.4825,9.90
54341466,,,2.089,0.4969,1.50
54341467,,,1.755,0.4271,3.81
54341469,,,1.658,0.4023,2.93
54341480,,,2.063,0.5207,1.50
54341482,,,1.615,0.3691,10.11
54341481,,,1.371,0.2454,14.23
54341483,,,1.262,0.3660,6.63
54341484,,,0.7892,0.3484,8.45
54341485,,,1.78,0.6121,14.76
54341514,,,2.337,0.7719,8.74
54341513,,,1.961,0.4507,22.01
54341515,,,1.97,0.5047,6.88
54341516,,,1.822,0.4583,8.69
54341517,,,2.142,0.6468,4.67
54341518,,,1.929,0.5047,4.35
54341520,,,1.871,0.4594,8.01
54341519,,,1.269,0.1872,4.86
54341522,,,1.685,0.4552,3.56
54341524,,,1.3,0.2334,10.59
54341523,,,1.658,0.3807,12.72
54341525,,,1.021,0.4062,6.60
54341527,,,1.974,0.7656,12.74
54341526,,,1.771,0.4199,1.36
54341543,,,1.767,0.5417,9.86
54341544,,,2.102,0.6233,5.24
54341546,,,1.532,0.3919,2.22
54341545,,,1.307,0.6472,1.31
54341547,,,1.913,0.5173,4.48
54341548,,,1.273,0.2222,13.54
54341550,,,1.605,0.4634,31.25
54341549,,,0.9791,0.1519,1.19
54341551,,,2.084,0.5666,0.47
54341552,,,1.93,0.5119,5.78
54341553,,,1.302,0.2357,23.36
54341555,,,1.078,0.0797,9.29
54341554,,,1.149,0.1264,21.73
54341556,,,1.36,0.4957,18.92
54341559,,,1.628,0.4152,1.72
54341558,,,1.499,0.4922,9.07
54341560,,,2.591,0.5944,11.91
54341562,,,2.448,0.4882,20.77
54341561,,,1.16,0.1458,0.26
54341590,,,1.078,0.0885,1.46
54341589,,,1.671,0.4978,8.98
54341591,,,1.065,0.1477,1.96
54341592,,,1.183,0.4112,3.85
54341594,,,1.805,0.4421,6.77
54341593,,,0.7817,0.3229,1.03
54341596,,,1.356,0.2493,42.55
54341595,,,0.9955,0.2408,28.49
54341597,,,1.164,0.3110,17.68
54341598,,,1.893,0.5013,10.17
54341631,,,1.723,0.4118,4.27
54341632,,,1.054,0.1506,7.30
54341633,,,1.863,0.5342,4.57
54341634,,,1.782,0.5476,16.18
54341635,,,1.449,0.7523,18.71
54341636,,,2.009,0.4057,1.46
54341643,,,0.7963,0.2939,7.18
54341644,,,1.579,0.3634,1.09
54341645,,,1.887,0.5423,7.45
54341647,,,2.585,0.5640,9.63
54341650,,,2.107,0.5479,7.51
54341651,,,1.624,0.3426,16.18
54341663,,,1.213,0.1827,2.62
54341664,,,1.596,0.4726,11.45
54341665,,,1.264,0.1082,7.67
54342181,,,2.269,0.5835,9.16
54342191,,,2.044,0.5780,1.55
54341646,,,1.016,0.1817,1.67
54341648,,,1.397,0.2819,0.60
54342166,,,2.298,0.5610,5.72
54342167,,,1.972,0.5431,1.27
54342169,,,2.5,0.6854,2.60
54342168,,,1.568,0.3910,11.54
54342170,,,1.569,0.5473,4.29
54342171,,,0.8525,0.1861,7.16
54342178,,,1.826,0.5026,15.43
