"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
20139345,44.25,2.586,1.805,0.7017,22.27
20139359,,,2.633,0.8702,5.96
20139622,,,1.423,0.3111,9.32
20140039,,,1.82,0.5689,4.86
20140158,3.143,0.566,1.347,0.4611,2.52
20140288,6.58,1.263,1.785,0.5077,53.22
20140333,,,0.9618,0.4817,19.03
20140928,17.692,,1.519,0.2969,20.66
20141018,16.51,,1.399,0.2412,2.87
20141052,7.658,,1.245,0.5501,17.66
20141053,,,1.528,0.5796,2.73
20141056,2.671,,1.817,0.4440,28.86
20141078,,,1.863,0.4509,11.47
20141079,3.761,,1.164,0.8282,28.53
20141354,10.801,,1.991,0.4500,10.92
20141424,,,0.9799,0.1768,6.88
20141432,2.605,0.239,0.9762,0.4276,2.47
20141447,,,2.389,0.5025,31.98
20141484,,1.034,0.858,0.3695,16.60
20141495,2.327,,1.114,0.8022,2.35
20141498,5.02,,0.9216,0.5665,30.14
20141525,14.45,,1.087,0.7246,34.04
20141526,,,1.014,0.3224,30.10
20141527,6.306,,1.514,0.6267,9.20
20141531,73.,0.303,0.9921,0.5290,22.55
20141593,12.69,,2.001,0.5290,2.35
20141614,,,1.624,0.5363,7.19
20141670,4.693,,2.386,0.4848,13.32
20141761,,,2.577,0.5082,18.90
20141765,,,2,0.4693,33.07
20141851,,,1.198,0.8502,19.14
20141874,,,1.835,0.3486,10.99
20142040,3.853,1.232,1.667,0.3445,28.25
20142348,5.0689,,2.065,0.4576,6.07
20142464,5.131,0.886,1.234,0.1548,16.28
20142555,,,2.632,0.5636,23.40
20142561,,,1.674,0.2934,16.65
20142563,,0.860,1.66,0.3440,20.49
20142781,6.81,1.595,1.951,0.3875,41.03
20143381,5.0678,,2.595,0.5111,5.48
20143404,78.64,,1.969,0.6061,2.66
20143409,10.531,,1.949,0.3512,8.17
20143487,7.021,,2.124,0.7297,4.99
20143527,,,1.661,0.3522,17.31
20143624,32.1,2.137,1.967,0.5761,35.59
20143637,,,1.746,0.8838,43.57
20143643,,,2.181,0.4167,11.11
20143649,2.6446,,1.085,0.1869,62.10
20143651,114.4,,2.135,0.5249,11.62
20143678,35,,1.649,0.3286,13.87
20143947,,,2.181,0.6549,21.03
20143992,,,1.971,0.5541,27.14
20144332,7.985,,1.423,0.2898,55.90
20144411,49.94,,1.918,0.5333,8.79
20144861,,,2.51,0.7492,39.42
20144898,3.369,,1.508,0.5887,4.22
20144900,,,0.9683,0.6556,36.26
20144901,8.06,2.240,1.64,0.5213,13.04
20144922,4.7894,,2.132,0.4125,8.23
20145656,2.968,,2.641,0.5553,11.09
20152558,8.147,1.4,2.013,0.4417,38.15
20152560,3.49,,1.443,0.3981,3.44
20152561,,,1.454,0.4857,19.58
20152563,32.,0.272,0.9077,0.2715,7.26
20152564,3.276,0.282,1.391,0.5618,13.32
20152575,16.28,,2.683,0.5259,12.35
20152637,,,0.8648,0.2085,16.72
20152664,17.38,,2.526,0.7139,3.42
20152667,,,2.81,0.7064,6.67
20152671,,0.298,1.129,0.3660,2.68
20152679,125,4.167,2.251,0.5529,4.93
20152680,,,1.448,0.6398,10.93
20152685,,,1.347,0.5731,0.15
20152742,,0.413,0.8782,0.7391,13.43
20152754,8.021,0.414,1.191,0.4974,2.02
20152756,2.845,,1.451,0.4149,15.22
20152770,,,1.878,0.6539,7.14
20152787,,,1.363,0.2316,15.95
20152828,,,1.162,0.5233,5.15
20152889,,1.022,1.679,0.6409,41.56
20152895,,,2.291,0.4941,2.97
20152931,4.1367,1.646,0.9298,0.4557,28.58
20152941,,0.820,1.481,0.6809,8.74
20152942,,,1.939,0.4566,27.08
20152952,4.179,0.776,1.384,0.1870,55.30
20152964,,0.788,1.397,0.3932,13.23
20152978,10.009,0.531,1.162,0.2366,25.01
20153002,6.051,,1.341,0.7959,31.43
20153195,,1.327,1.301,0.6190,41.11
20153201,5.022,0.510,0.9112,0.7807,7.77
20153219,,1.289,2.089,0.4354,40.33
20153220,,,2.53,0.6778,5.98
20153243,,,1.299,0.5307,35.98
20153249,,3.160,2.118,0.5904,41.24
20153267,,,1.782,0.6139,9.67
20153271,,2.441,1.557,0.4023,21.65
20153306,,,2.552,0.5232,26.98
20153311,,,2.501,0.6462,28.42
20153315,,,1.237,0.4497,34.70
20153349,,,1.799,0.6393,10.54
20153415,4.452,,0.8915,0.2139,50.21
20153460,,,1.414,0.5811,10.09
20153591,3.423,2,1.987,0.4801,6.69
20153792,,,2.1,0.7425,10.48
20153814,4.253,0.932,1.712,0.4670,1.92
20153842,17.95,1.759,2.752,0.5667,9.00
20153951,7.072,,1.836,0.3425,15.47
20153953,,,1.773,0.8091,31.03
20153957,2.415,,2.532,0.7587,46.53
20153958,2.8174,,1.703,0.4515,4.64
20154007,14.91,,1.819,0.3467,2.73
20154019,,,1.325,0.3603,4.97
20154020,,,1.541,0.5899,12.13
20154029,2.554,1.119,1.89,0.4623,44.19
20154035,,1.098,1.21,0.5321,49.06
20154144,,,1.834,0.2963,23.62
