"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20086666,206,1.165,1.463,0.4269,29.01,16.93
20086667,53.756,0.745,0.8594,0.5947,14.29,17.54
20086819,3.0239,0.802,1.996,0.5057,10.06,17.47
20086829,3.0996,1.823,1.463,0.5748,14.37,15.83
20086878,15.72,,1.342,0.6185,9.47,17.68
20087024,28.2,,1.197,0.1898,14.43,18.67
20087025,,,1.227,0.4835,25.32,18.14
20087309,2.1651,0.568,0.8475,0.4631,34.74,17.61
20087311,,1.948,1.591,0.5123,7.70,16.47
20087684,2.5712,,0.8587,0.6428,19.23,16.03
20088188,2.6906,1.371,2.009,0.3909,11.35,16.11
20088213,,0.912,0.954,0.5952,17.81,19.48
20088254,38.56,0.800,1.182,0.6295,1.52,17.76
20088263,13.17,5.748,2.097,0.4323,38.79,15.69
20088264,,,2.148,0.4519,12.07,17.05
20088710,2.4004,0.760,1.061,0.2702,21.90,17.69
20088959,6.73,,1.723,0.5639,53.84,17.45
20089136,14.39,,1.356,0.2530,1.91,20.28
20089355,40.553,2.038,1.787,0.3085,22.66,15.80
20089830,2.6149,5.067,2.077,0.5072,43.66,15.00
20089958,3.265,,1.642,0.8864,9.91,17.20
20089959,5.527,1.407,1.735,0.5284,42.36,16.58
20090075,7.879,2.233,2.134,0.5758,8.91,15.38
20090147,,,1.474,0.3316,27.99,18.31
20090367,39.,1.748,1.156,0.4263,16.88,17.97
20090373,,,1.627,0.2044,9.87,18.81
20090403,505.,0.572,1.234,0.2801,19.01,17.79
20090416,43.58,0.968,1.695,0.4921,7.83,18.87
20096189,,3.605,1.82,0.3076,13.99,16.49
20096315,5.872,,1.443,0.6432,6.65,17.06
20096536,,,2.299,0.7782,41.43,15.45
20096590,520,0.882,0.9079,0.3511,13.60,16.33
20096631,3.59,,1.699,0.2593,1.77,18.18
20096744,,,2.092,0.7799,34.94,14.75
20097725,,,1.798,0.3092,18.19,18.74
20098943,5.017,,1.032,0.2192,4.81,18.80
20099248,19.7,1.115,1.867,0.5076,10.61,16.56
20099799,,,1.462,0.2757,7.56,18.54
20099907,2.5246,1.4,0.7284,0.5948,28.80,17.93
20099935,5.532,,1.654,0.6450,12.77,16.16
20099942,30.56,0.34,0.9227,0.1914,3.34,19.09
20100004,3.1643,2.70,2.591,0.7022,15.70,16.49
20100085,12.906,,2.651,0.6194,2.64,17.89
20100756,6.369,1.809,2.265,0.5543,11.57,16.33
20100926,2.328,1.174,1.783,0.4077,24.24,16.66
20101869,,,1.624,0.6109,4.77,19.47
20101873,,,2.029,0.3933,45.79,16.45
20101955,4.296061,0.482,1.126,0.2037,6.03,20.21
20102873,2.40639,,2.132,0.4667,7.46,17.63
20103067,9.849,1.282,1.844,0.5815,38.54,16.84
20105140,6.9269,1.946,0.9143,0.8170,32.54,15.74
20105141,,0.352,1.421,0.1890,14.82,19.11
20106538,51.2,,2.421,0.7653,10.34,16.28
20106589,141.1,,2.146,0.6175,14.37,16.02
20108519,4.495,1.423,1.603,0.2710,16.39,17.95
20108906,,,1.235,0.3605,20.93,17.91
20111253,,3.006,1.754,0.4395,42.02,15.28
20112221,12.866,,2.269,0.4449,58.74,15.52
20112985,4.787,3.618,2.22,0.4927,46.99,15.80
20115052,12.08,,1.669,0.3181,31.32,17.46
20136564,,0.4,1.865,0.3946,2.99,19.28
20136582,,,1.342,0.0680,10.50,19.88
20136617,2.3886,,1.638,0.4169,4.68,17.97
20136618,13,,1.573,0.3950,1.44,16.87
20136635,41.995,,1.573,0.1752,7.64,19.12
20136745,,,2.367,0.4839,17.78,18.09
20136770,,,1.839,0.4516,25.10,20.56
20136773,,,1.585,0.1802,22.10,18.62
20136793,,,1.147,0.4654,17.37,18.40
20136795,17.71,,1.747,0.4789,10.99,18.12
20136818,,,0.9375,0.3463,12.78,18.98
20136839,,,1.485,0.3058,8.16,18.83
20136849,2.7653,,1.491,0.5787,7.79,17.72
20136874,28.55,3.398,2.202,0.8842,21.16,15.79
20136897,15.3,,1.363,0.1248,38.88,18.57
20136900,6.439,,1.748,0.6365,10.98,17.39
20136923,15.7,,2.135,0.4413,6.63,16.32
20136993,2.3017,,2.308,0.5956,24.49,17.85
20137032,2.925,1.055,1.596,0.7631,25.50,16.66
20137044,,,2.269,0.4286,4.38,16.81
