"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20395143,,0.636,1.499,0.4390,20.97,18.95
20395207,,0.724,1.568,0.4894,27.85,19.62
20395289,7.03,,1.29,0.3472,49.90,18.23
20396593,3.1881,,0.8746,0.4994,23.74,19.07
20396730,,,1.334,0.5788,23.62,18.49
20396793,,,1.068,0.6085,19.76,20.18
20396794,,,1.854,0.6643,43.63,17.75
20397237,,1.180,2.523,0.8871,37.83,16.75
20397326,,,1.72,0.3748,4.49,19.05
20397471,,,1.763,0.2708,17.00,18.16
20397474,,,2.166,0.8353,18.55,17.26
20397847,,,1.396,0.4486,14.84,18.78
20398188,21.99,0.462,0.8644,0.2732,13.25,19.33
20399307,3.4807,,2.21,0.4273,8.95,18.90
20399308,,,1.102,0.2381,15.46,20.66
20399325,,0.669,1.146,0.6147,24.43,20.17
20399433,,1.339,2.654,0.7771,4.38,18.58
20399446,,,2.068,0.4017,1.82,20.67
20399457,,,2.508,0.9563,25.97,19.30
20399611,20.4173,,1.252,0.1658,15.25,19.28
20399774,3.4882,,2.044,0.5180,12.71,18.80
20401856,,,1.452,0.4779,24.27,20.27
20401857,,4.2,2.825,0.8552,22.03,16.12
20401885,,,0.9148,0.3424,7.53,20.43
20401925,,0.475,1.894,0.4754,36.38,18.48
20401954,,,0.8247,0.2866,1.35,18.91
20401998,50,,1.969,0.8760,21.46,18.38
20402267,,,2.748,0.5296,12.96,17.11
20403039,7.61,,1.276,0.1308,11.57,19.86
20403247,,,1.686,0.3172,9.47,19.26
20403775,,,0.9383,0.6800,5.46,20.91
20404108,,,2.503,0.6873,20.80,15.39
20405189,,,1.329,0.0805,13.70,20.87
20405212,15.27,,1.373,0.7312,5.04,18.04
20405427,5.203,,2.245,0.4381,12.23,18.07
20405562,,,2.699,0.5442,4.51,18.23
20405762,,,1.481,0.4480,5.77,20.28
20406213,8.545,,1.919,0.5457,1.46,20.34
20406952,,0.772,1.241,0.7174,32.96,17.15
20407324,,0.281,1.617,0.5221,9.12,20.58
20407338,,,1.584,0.4758,4.92,18.16
20407653,,,2.053,0.5125,9.77,17.04
20407656,25.,,2.2,0.4916,10.00,18.26
20408751,21,0.399,2.252,0.5342,3.35,19.03
20408752,,,2.045,0.7923,7.93,17.02
20408792,,,1.341,0.3775,9.63,20.53
20408869,,,1.885,0.3286,14.39,19.05
20408980,16.21,,1.43,0.7224,15.05,18.72
20408982,,,0.9046,0.6005,20.85,20.79
20409204,5.118,,2.908,0.5831,23.95,18.73
20409256,,1.887,2.207,0.5206,25.77,18.42
20409266,,,1.836,0.4259,6.23,21.31
20409342,,,1.837,0.3007,5.36,19.95
20409836,,0.554,1.924,0.5738,6.40,18.07
20409934,,,1.897,0.3701,20.98,18.60
20410088,4.5569,1.032,2.5,0.6294,8.33,18.20
20410195,48.05,,2.291,0.4670,3.83,18.38
20410622,,,2.077,0.3771,3.79,21.75
20410627,,,1.316,0.4429,13.09,20.89
20410649,,,1.331,0.2337,7.14,20.81
20410650,47.3,,2.952,0.5844,6.72,18.53
20410777,4,0.472,1.164,0.4928,3.13,22.18
20410778,8,1.457,2.912,0.7193,54.51,18.12
20410832,,,1.883,0.3419,32.99,19.28
20411165,45.8,0.159,1.598,0.5028,20.08,21.91
20411201,113,0.658,1.626,0.3418,12.03,17.82
20411280,7.79,,2.005,0.4140,3.04,19.30
20411611,,0.358,2.025,0.4833,3.40,18.75
20411655,,,2.163,0.4212,7.60,18.56
20412976,,,1.362,0.2338,15.85,19.89
20412977,,,1.257,0.7729,31.59,19.59
20412983,,,1.442,0.2900,5.82,20.16
20412995,,,1.219,0.0906,16.31,20.06
20413002,4.887,,1.646,0.3294,2.85,18.86
20413021,,,2.295,0.4571,7.67,19.45
20413038,6.569,1.237,2.649,0.5776,23.98,16.96
20413091,,,2.188,0.5037,38.06,18.24
20413123,,1.258,2.67,0.5564,10.94,19.00
20413192,,2.160,3.246,0.6565,9.12,16.90
20413216,,,1.641,0.3018,21.96,18.94
20413260,27.2,,0.7767,0.3814,12.19,19.56
20413421,,1.900,2.906,0.5845,17.82,18.32
20413563,1.3862,,0.6814,0.3723,23.33,17.63
20413577,3.4591,,0.9363,0.5699,14.32,20.34
20413820,,0.659,1.889,0.3669,9.24,19.65
20413989,,,1.12,0.5218,30.84,19.07
20414286,,0.369,0.9231,0.1992,21.84,18.59
20414287,42.5,1.974,3.204,0.7592,13.50,17.73
20414429,,2.866,1.8,0.4896,20.84,18.03
20414532,,,2.842,0.5544,12.69,16.84
20414586,,0.996,3.174,0.6324,8.34,16.14
20414746,,1.800,2.623,0.5223,23.85,17.98
20414772,,1.466,1.194,0.6723,23.12,19.15
20414800,,,1.512,0.5150,6.19,20.76
20414903,,,1.605,0.2776,13.63,17.44
20414960,,,1.608,0.3273,7.70,20.02
20414990,,,1.321,0.3350,1.86,21.90
20415027,,,1.31,0.3863,26.63,18.36
20415029,2.732,,2.122,0.6533,34.85,15.88
20415267,,,2.346,0.4763,15.61,18.35
20415710,,,2.557,0.5589,26.61,18.55
20415711,,0.346,1.152,0.1100,40.70,19.08
20415713,,,0.7411,0.3676,6.97,19.95
20415715,,,2.162,0.4103,20.44,18.14
20415745,,,1.747,0.4563,10.56,19.39
20415746,,,2.258,0.4291,21.45,17.98
20415949,43.5,,0.8716,0.3872,30.99,19.39
20415986,,1.072,2.666,0.5458,25.72,18.03
20415987,,,1.122,0.4361,37.89,19.17
20416002,,,0.875,0.5463,27.75,20.48
20416032,5.36,,1.887,0.4092,2.51,20.81
20416071,17.7,0.803,2.667,0.6168,22.27,18.03
20416151,12.191,,1.112,0.3064,4.58,20.68
20416186,2.8513,,1.202,0.0825,7.41,19.42
20416195,,,1.077,0.1599,26.92,19.48
20416217,,,1.428,0.1436,14.25,20.57
20416224,7.666,,1.79,0.3784,20.18,18.08
20416231,9.5708,,1.812,0.3501,9.78,18.67
20416283,,,1.053,0.2563,8.54,21.62
20416567,,2.538,3.115,0.6587,21.11,17.13
20416584,16.51,,2.188,0.5156,8.44,18.98
20416591,4.677,,1.865,0.7349,10.98,18.66
20416675,,,2.866,0.5580,35.97,17.76
20416680,,,1.825,0.3774,20.65,18.56
20416694,50.3,2.292,3.068,0.6989,20.45,17.69
20416801,9.,0.906,1.193,0.4975,16.54,19.65
20416804,3.266,,2.704,0.5753,5.29,18.73
20416851,,,1.695,0.3182,22.99,19.02
20417167,,,1.708,0.3681,40.46,19.32
20417201,,,1.304,0.0641,34.15,19.74
20417210,,,0.7842,0.4142,16.85,20.54
20417211,,,1.728,0.4872,10.90,18.25
20417217,,,0.7111,0.5503,19.59,19.59
20417264,,1.930,2.7,0.6042,21.12,17.14
20417419,,,1.199,0.1273,9.35,20.92
20417581,,,1.603,0.6781,53.35,17.30
20417612,,,1.601,0.3937,8.07,18.44
20417634,,0.418,2.458,0.5960,20.50,18.57
20417655,,,0.9187,0.4034,10.53,19.89
20417816,,,1.25,0.2657,16.33,20.27
20417871,,,1.876,0.7001,47.71,18.32
20417874,,,2.445,0.8874,19.32,18.12
20417949,,,1.262,0.1977,38.29,18.74
20418094,9.929,0.890,1.486,0.4411,38.33,19.67
20418135,,,1.459,0.3366,16.01,19.37
20418198,,,0.8517,0.3796,24.45,18.94
20418233,,,1.731,0.4514,31.29,18.36
20418265,,,0.6159,0.3050,28.26,16.50
20418416,,,2.089,0.6256,4.71,20.31
20418797,7.35,0.789,0.9059,0.3257,26.20,19.41
20418846,14.6,,1.599,0.2916,16.69,21.38
20418849,2.4055,,1.006,0.1064,33.52,20.47
20418896,4.3,,1.31,0.4291,13.84,19.49
20418900,,,1.56,0.3536,23.43,19.20
20418929,4.59,1.432,2.892,0.6410,15.21,17.07
20419022,4.84,,1.485,0.1428,42.41,18.40
20419464,,,1.873,0.3223,15.25,18.72
20419472,,0.459,1.225,0.2002,23.77,19.99
20419624,,0.357,1.004,0.0754,14.52,20.44
20419829,,,2.566,0.5216,15.38,17.99
20419880,,0.982,2.547,0.6720,9.66,19.83
20419922,,,2.404,0.6416,8.09,17.70
20420048,,,1.609,0.4124,28.20,18.89
20420187,2.578,,2.167,0.4836,8.72,18.19
20420210,,,1.283,0.2347,10.62,20.45
20420262,,,1.588,0.4227,17.13,20.18
20420286,,,2.132,0.5325,36.59,18.65
20420302,26.98,,2.139,0.4608,6.66,17.80
20420591,,,1.554,0.4427,9.11,19.51
20420738,3.57,,0.9897,0.1134,16.46,20.84
20422637,,,2.827,0.6096,9.83,18.14
20422638,8.676,0.193,1.149,0.1451,18.25,21.10
20422659,,,1.443,0.1733,22.51,20.08
20422686,2.4437,0.176,0.8537,0.2864,4.70,21.63
20422699,42.484,0.619,1.998,0.5921,7.70,18.28
20422787,,,2.59,0.6188,13.25,17.04
20422977,,,1.657,0.2394,10.38,20.11
20423022,,,1.318,0.4741,17.45,18.98
20423100,,,2.412,0.8376,19.46,18.45
20423210,,,1.82,0.4156,24.25,19.15
20423321,17.157,0.202,1.85,0.4493,2.39,20.90
20423709,4.416,,1.472,0.4047,13.00,19.75
20423747,3.2,,1.714,0.2960,28.97,19.00
20424089,,2.314,2.463,0.5004,23.20,17.58
20424392,,0.239,1.103,0.2800,3.31,22.12
20424482,,,1.255,0.2426,5.71,19.68
20424532,,,2.412,0.4737,8.48,18.00
20424965,,,0.8125,0.4870,28.87,18.76
20424969,,,1.324,0.1294,21.21,20.64
20425047,,,2.206,0.4418,8.48,18.25
20425250,,,1.564,0.2878,13.02,21.18
20425450,3.52,,1.85,0.3703,7.93,19.61
20425713,6.01,,1.559,0.2239,8.76,19.57
20425755,,,0.9116,0.8703,9.46,21.18
20426071,,,1.025,0.6486,19.29,19.94
20426082,,,1.353,0.1272,20.27,20.12
20427499,,,2.188,0.4645,18.83,19.21
20427621,,,2.157,0.4033,6.90,18.41
20427643,11.47,,1.676,0.3785,53.59,17.33
20427684,8.962,,0.9443,0.4004,23.02,20.29
20427778,,,0.8839,0.4210,31.19,20.11
20428086,20,,2.78,0.6168,14.20,16.33
20428209,7.8,,1.942,0.4918,12.25,20.12
20428223,,2.525,2.68,0.8678,32.72,16.16
20428681,,,2.314,0.5065,24.21,17.92
20428694,8.43,,1.601,0.6480,19.14,19.39
20429073,,2.498,2.732,0.5715,11.83,17.15
20429094,,,1.121,0.1702,25.98,20.06
20429382,,0.448,2.354,0.5327,3.41,18.35
20429389,,,1.198,0.1759,9.16,21.66
20429584,43.5,,2.502,0.6998,2.58,19.79
20429733,2.649,,2.544,0.4940,22.55,16.54
20429736,,,1.044,0.4156,12.60,20.25
20429746,,1.275,2.732,0.5326,20.12,17.33
20430439,14.92,,2.954,0.5924,15.59,19.80
20430440,,,2.422,0.5914,18.67,17.64
20430544,2.633,,2.201,0.8066,3.35,18.76
20430552,15.66,,2.661,0.5618,20.74,17.99
20430802,,,1.827,0.3521,8.45,21.15
20430804,,,1.95,0.7550,12.38,17.94
20431107,,1.266,2.694,0.5848,17.68,17.65
20431394,,,1.923,0.3897,0.32,19.57
20431698,,,2.296,0.7568,9.12,18.29
20431760,,,2.262,0.9505,9.84,18.11
20431775,,,1.8,0.2908,26.66,18.78
20431776,,,2.281,0.4308,9.59,17.85
20432226,,,1.601,0.3220,16.71,18.61
20432509,,,1.405,0.8281,16.18,19.49
20432655,2.79,,1.53,0.2104,12.67,19.75
20433303,0.1529,,1.032,0.1698,6.32,22.09
20433939,,,1.04,0.4369,15.06,21.17
20433953,9.3205,0.259,1.076,0.2008,7.19,20.96
20433960,,,1.469,0.2007,22.46,19.92
20433992,9.36,0.827,2.917,0.5981,49.25,18.04
20434007,,,2.757,0.5402,9.32,18.49
20434051,,,1.364,0.1783,37.60,19.69
20434053,,,1.485,0.1278,25.82,20.72
20434096,,0.528,1.896,0.7677,13.77,18.16
20434154,,,2.201,0.5008,6.54,19.77
20434188,,,1.645,0.7628,23.34,19.15
20434196,,,1.062,0.1346,19.78,21.61
20434313,,,0.6966,0.4885,14.55,19.40
20434326,,,0.6353,0.5312,18.94,18.48
20434344,,,1.377,0.2855,36.87,19.87
20434500,,,1.264,0.2573,13.21,21.20
20434632,,1.150,1.151,0.2513,12.36,19.88
20434633,,0.310,1.264,0.3554,22.88,20.67
20434677,,,1.49,0.3665,68.42,17.46
20434734,,,1.495,0.4380,24.64,20.02
20434740,,0.997,1.528,0.3797,12.49,19.59
20434751,,,2.72,0.5857,6.01,18.55
20434786,,,1.381,0.6513,35.90,18.18
20435058,,,1.341,0.1401,20.12,20.23
20435138,,,2.541,0.4964,30.87,16.84
20435159,,,2.605,0.6300,17.06,17.14
20435302,,,2.22,0.4482,12.39,18.32
20435404,,0.921,2.21,0.4426,8.86,18.62
20435441,,,1.254,0.4179,8.07,19.98
20435548,,,2.012,0.5284,7.25,18.87
20435730,,,2.004,0.3705,34.67,18.82
20436030,,0.295,0.8883,0.4783,19.63,19.44
20436035,,,2.102,0.4357,5.73,20.09
20436037,,,1.869,0.6582,8.24,18.69
20436094,,,2.144,0.4736,6.93,19.13
20436116,6.611,,1.319,0.2193,12.22,21.23
20436324,,0.369,1.401,0.1441,44.84,19.44
20436325,,0.452,1.831,0.8458,24.15,18.35
20436329,,0.622,2.966,0.7003,21.84,20.09
20436568,,,2.365,0.7025,29.98,17.22
20436654,,,1.738,0.3270,7.08,19.29
20436671,,2.159,2.627,0.6103,13.42,18.00
20436724,0.61073,,1.621,0.3762,4.57,19.98
20436761,,2.773,2.236,0.5931,19.95,18.22
20436763,,,1.979,0.6649,22.62,18.02
20436764,,,2.019,0.3971,5.18,19.47
20436771,,,0.9621,0.4325,24.73,19.03
20436774,,,1.232,0.4862,21.39,18.47
20436775,5.687,,2.01,0.7643,34.39,16.53
20437316,5.593,,1.829,0.4687,29.90,18.50
20437841,,,0.9632,0.3126,7.81,21.00
20437844,5.495,,0.674,0.6653,2.04,21.19
20437846,,,1.479,0.3523,25.78,19.46
20437879,,1.820,2.763,0.5470,13.09,17.95
20437905,,,2.196,0.6659,8.91,19.98
20437908,,,2.284,0.4517,4.62,19.50
20437965,,,2.541,0.6946,9.65,19.49
20437994,,1.078,3.281,0.7026,19.81,17.48
20438017,,,1.45,0.3661,24.60,18.71
20438105,4.103,,1.914,0.8233,1.56,18.75
20438107,,0.663,1.849,0.6861,12.64,18.36
20438116,,,2.215,0.9074,36.53,17.38
20438317,,,1.709,0.2719,23.89,19.89
20438429,3.686,,2.1,0.4506,4.02,18.88
20438430,8.47,,1.358,0.2410,20.39,20.10
20438452,,,1.51,0.2441,21.01,19.25
20438661,,,1.209,0.2932,17.72,19.31
20438897,,0.946,1.38,0.2214,32.79,18.85
20438902,56.5,2.226,3.081,0.6564,16.97,17.50
20438908,,,1.858,0.5438,0.35,20.63
20438955,3.842,,1.154,0.4746,1.47,21.01
20438990,,0.818,1.252,0.7484,33.80,18.39
20439313,,,2.11,0.5440,9.93,19.66
20439437,,,1.023,0.5498,6.52,18.78
20439854,,,1.558,0.3071,31.76,18.74
20439877,,,1.236,0.3693,21.62,19.71
20439889,,0.590,2.087,0.4580,6.12,20.42
20439898,,0.530,1.522,0.2455,12.00,19.99
20439908,15.522,,1.526,0.2253,16.95,19.41
20440012,,,2.179,0.4544,3.10,19.61
20440212,,,1.681,0.4303,3.44,18.96
20441058,,,2.544,0.8110,53.23,16.54
20441103,,,2.56,0.5467,14.11,18.19
20441304,,,1.395,0.1024,2.66,20.96
20441641,,,1.995,0.5626,8.20,18.62
20441823,,,1.596,0.2382,8.55,22.17
20441825,5.829,,1.611,0.2227,30.82,18.40
20441952,,2.246,3.096,0.5871,4.71,18.39
20441987,4.9706,0.228,1.003,0.3703,11.55,21.35
20442037,2.0734,0.695,2.928,0.6866,17.58,19.27
20442177,,,1.2,0.0633,38.95,19.93
20442243,2.43,,2.502,0.4964,16.16,18.10
20442523,,,1.667,0.4247,6.72,19.51
20442559,10.45,,1.658,0.3156,39.12,18.22
20442605,,0.440,1.998,0.5435,14.70,19.29
20442609,,,2.2,0.5149,18.98,17.63
20442742,221.,2.003,2.101,0.3841,22.57,17.77
20443103,135,,1.035,0.1922,21.47,17.97
20443104,,,1.046,0.2033,6.99,24.16
20443806,,0.288,1.26,0.2478,26.39,21.72
20443837,14.09,0.253,1.16,0.0808,39.54,19.67
20443880,13.719,0.228,1.76,0.4266,12.67,19.38
20443923,119.4,3.316,2.176,0.4830,28.91,17.58
20443972,,,1.433,0.1358,19.23,19.64
20444004,,,1.071,0.1745,17.21,20.67
20444185,,,2.22,0.4988,3.26,19.24
20444193,66.8,0.437,1.069,0.1944,24.83,18.19
20444584,5.721,,1.494,0.5388,4.74,20.25
20444627,,,1.789,0.3551,2.91,19.09
20444628,,,1.475,0.2405,14.41,19.51
20444935,,,2.194,0.4325,3.34,19.33
20445025,,2.098,2.41,0.8089,13.46,17.43
20445267,130.618,,2.098,0.4098,8.12,19.56
20445305,,0.762,1.306,0.2926,25.60,19.71
20445775,,,2.116,0.7581,5.22,18.57
20445830,,,1.561,0.4412,2.87,22.23
20445974,,,1.478,0.3638,3.71,20.29
20446789,,,1.397,0.2356,14.63,20.87
20446791,19.15,,2.238,0.7051,7.30,18.52
20446804,24.1,,1.733,0.3703,19.48,19.63
20446826,,,2.778,0.5935,3.46,18.61
20446833,5.299,,1.052,0.3813,6.61,20.95
20446862,,,1.459,0.3483,4.24,20.54
20446924,,,0.8376,0.4366,9.70,20.21
20446935,,,2.217,0.4824,21.63,18.23
20446938,,,1.287,0.1236,15.54,20.26
20446955,,,1.439,0.2897,43.47,20.25
20446963,,,2.068,0.4477,4.39,19.52
20447221,,,1.161,0.1503,19.68,20.77
20447655,,,1.493,0.1427,28.23,20.01
20447755,,,1.708,0.5259,4.22,19.77
20447795,,,2.507,0.5023,2.27,17.91
20447903,,,1.693,0.6002,10.65,18.58
20447977,,,2.587,0.5388,24.98,18.69
20448003,,,1.714,0.4139,14.77,19.64
20448628,,,1.244,0.6533,22.15,20.35
20448721,8,,1.544,0.4120,3.94,20.98
20448724,,,1.541,0.3045,17.12,19.59
20448818,,,2.485,0.5250,21.99,17.84
20448972,2.848,,2.843,0.5452,5.97,17.20
20449074,,,1.662,0.2625,39.53,19.28
20449089,,,1.319,0.6319,12.61,20.14
20449107,,,1.359,0.3901,15.72,19.70
20450142,,,1.999,0.5420,1.79,19.88
20450143,,,1.746,0.4661,18.18,19.50
20450159,,0.735,1.909,0.7022,9.44,18.99
20450160,14.51,,2.433,0.6674,57.26,16.77
20450185,,,1.446,0.2441,27.33,20.14
20450203,,,1.666,0.2886,19.97,20.04
20450237,,0.096,0.9112,0.2176,2.12,23.18
20450238,,1.250,2.17,0.4264,25.61,18.36
20450259,,,1.801,0.4529,17.80,19.93
20450263,1540.,,1.426,0.4095,16.72,18.83
20450270,,,1.432,0.3327,18.72,20.60
20450293,,,1.231,0.2757,35.34,18.83
20450300,,,0.9417,0.3379,6.25,20.67
20450648,740.,,1.473,0.2820,16.67,19.55
20450649,2.824,,0.9316,0.1573,26.22,19.54
20450779,,,1.958,0.3566,48.29,17.81
20450894,2.5702,,2.221,0.5938,8.14,18.18
20451003,,,1.715,0.4640,6.48,19.55
20451124,,2.188,3.207,0.6991,10.02,18.08
20451157,,,1.285,0.2796,4.02,21.13
20451217,,2.720,3.316,0.6108,14.06,17.00
20451297,,,1.841,0.4949,30.80,19.19
20451370,,,1.188,0.2306,5.52,21.48
20451397,3.115,,2.395,0.5426,17.92,17.22
20452302,5.006,,1.698,0.8272,3.57,20.23
20452307,,,1.867,0.3177,44.27,18.44
20452313,,1.514,2.273,0.5812,20.49,18.58
20452314,19,,2.141,0.4676,9.20,19.11
20452334,,,1.236,0.1894,20.79,21.07
20452376,,,1.76,0.4936,16.54,19.97
20452389,46.7,0.846,1.109,0.0304,14.16,18.27
20452397,,,1.881,0.3438,8.78,20.30
20452421,,,2.635,0.5104,24.48,18.56
20452474,,,1.776,0.4878,34.11,18.60
20452561,3.337,,3.221,0.6546,8.15,17.58
20452639,,2.249,2.249,0.8726,12.21,18.15
20452807,,,1.15,0.2727,3.55,21.52
20453100,,,2.555,0.5064,29.23,18.88
20453309,,,1.75,0.3318,11.58,19.50
20453563,,,0.8201,0.2775,10.02,20.24
20453687,,0.948,1.809,0.3093,19.98,19.39
20453707,13.248,0.495,1.133,0.2288,31.48,18.73
20453729,,,1.381,0.2778,20.36,18.83
20453778,2.4567,,1.913,0.4638,6.69,18.52
20454078,,2.959,2.241,0.4888,24.99,17.40
20454094,0.4831,0.167,1.015,0.1447,11.85,21.87
20454100,1.1,0.548,1.331,0.4183,4.54,20.19
20454101,,,1.328,0.6288,6.85,20.44
20454177,49.75,,2.138,0.4907,41.20,15.96
20454266,,,1.759,0.2908,19.05,18.92
20455146,,,2.226,0.4255,10.12,19.66
20455148,,,1.239,0.2928,5.21,21.13
20455157,,,3.306,0.6586,3.85,17.25
20455176,6.681,,1.313,0.7385,3.92,20.70
20455184,,,0.835,0.5666,13.78,21.23
20455185,,0.599,3.055,0.5857,25.06,17.31
20455192,30.33,1.082,2.883,0.5765,2.68,18.37
20455193,,,1.832,0.3248,35.31,18.52
20455199,,,1.667,0.3730,26.05,19.95
20455213,0.4865,,2.279,0.4733,9.36,18.23
20455299,,0.537,2.302,0.5766,9.51,18.06
20455322,9.04,,2.601,0.5950,2.99,17.56
20455407,,,1.513,0.2361,36.10,19.86
20455415,5.78,,1.282,0.1913,3.84,21.45
20455426,,0.685,2.532,0.9223,6.84,18.76
20455432,4.2736,,1.734,0.3660,31.22,18.32
20455550,9.94,,2.292,0.5689,18.76,17.30
20455554,,,2.406,0.7053,11.13,18.02
20455588,10.054,,1.241,0.2440,17.46,20.64
20455591,,,2.351,0.4491,7.54,18.65
20455594,,1.625,1.759,0.6580,41.17,17.99
20455659,,,0.9494,0.3562,10.67,21.60
20455687,,,1.978,0.4799,14.19,19.29
20455736,14.4,,1.983,0.3733,32.01,17.86
20455795,,1.242,1.951,0.6543,10.11,18.84
20455956,,,1.064,0.2753,22.42,20.79
20456051,53.19,,2.215,0.5982,10.45,18.79
20456301,,,1.867,0.4809,21.54,18.73
20456536,,,1.698,0.3098,12.81,19.02
20456537,,0.308,0.7868,0.3305,12.76,19.62
20456618,,,2.108,0.3974,23.27,19.78
20456651,,,1.862,0.3768,24.39,18.38
20456863,,,1.876,0.3759,16.82,19.63
20456898,,,2.384,0.6711,16.11,17.41
20456938,,,1.576,0.6221,6.24,21.03
20456946,,,1.211,0.1109,27.18,21.26
20456973,,,1.587,0.4711,14.14,18.15
20457059,,,0.9429,0.7390,26.78,20.06
20457212,,,1.394,0.1774,16.82,19.87
20457260,2.5308,,2.217,0.4597,4.38,17.89
20457647,,1.958,2.278,0.7170,21.97,17.90
20457662,,,1.453,0.3020,14.12,22.00
20457663,,,1.442,0.2854,7.86,20.32
20457768,,,1.941,0.5250,9.14,18.39
20457912,,,1.279,0.4390,16.99,19.62
20458062,,,1.253,0.5628,32.00,18.86
20458116,,,1.03,0.5656,20.53,20.29
20458122,,,2.067,0.6691,2.12,17.60
20458135,,0.304,2.066,0.4686,21.64,20.28
20458198,3.007,,2.12,0.4059,2.26,19.08
20458368,,,1.798,0.2853,27.02,18.54
20458375,,,1.385,0.1357,5.98,21.27
20458418,,,1.854,0.5379,38.50,19.47
20458436,,1.102,2.804,0.6359,13.44,17.45
20458452,6.4108,,0.8734,0.2769,10.23,19.77
20458723,,,1.81,0.5034,19.29,19.48
20458732,,,2.486,0.6031,10.56,17.93
20458745,,,2.485,0.5150,7.57,18.45
20458964,,,1.559,0.2878,15.87,20.26
20459046,,,1.597,0.4866,12.50,17.33
20459119,,,2.256,0.8327,21.26,18.20
20459200,,,1.243,0.1654,6.27,21.08
20459386,,,1.568,0.5715,35.84,16.99
20459451,,,1.834,0.4963,17.62,17.59
20459458,,,2.017,0.7720,11.92,18.55
20459462,,,1.314,0.4745,18.35,19.96
20459683,,0.269,1.662,0.4531,3.00,19.79
20459872,0.0978,,1.009,0.0701,4.80,23.36
20461353,,,1.01,0.3009,13.05,21.16
20461365,,,2.185,0.4518,11.40,19.38
20461397,,,2.276,0.5285,25.27,18.34
20461501,,,2.679,0.5676,4.32,18.68
20461852,2.25,,1.858,0.4960,30.56,18.90
20461912,,,2.695,0.6502,8.58,18.34
20462041,,1.847,2.661,0.7634,19.65,17.36
20462238,6.0555,0.227,0.7707,0.3477,7.22,20.66
20462329,,,2.584,0.5278,25.46,18.47
20462550,,,1.065,0.7237,21.51,19.63
20462559,,,1.242,0.0808,29.39,20.50
20462736,,,2.226,0.7843,59.84,16.41
20462775,,0.579,1.287,0.2343,21.91,19.40
20462959,10.29,,1.171,0.3176,2.95,21.11
20463216,,,2.598,0.5104,28.21,18.31
20463257,,,1.582,0.3314,9.99,18.57
20463282,,,2.471,0.7407,28.24,16.96
20463360,,,1.621,0.3339,11.22,20.65
20463380,425,,2.114,0.4056,28.70,19.03
20463387,,,2.085,0.6249,1.80,18.43
20463664,,0.868,1.632,0.5927,19.96,18.64
20464639,,,1.836,0.3995,3.58,19.17
20464797,45.4,0.726,1.794,0.5310,52.63,18.30
20464798,10.758,1.109,0.9016,0.2657,10.53,19.37
20464885,,0.384,1.49,0.2680,34.89,19.57
20465098,,2.073,2.988,0.5902,22.23,16.62
20465166,,,1.497,0.2758,34.33,19.55
20465402,,,2.587,0.9601,10.48,17.38
20465616,48.6,,1.768,0.3647,37.66,18.82
20465617,,,1.241,0.2291,9.13,21.36
20465633,,,1.252,0.3513,3.95,20.48
20465749,86.2,2.490,3.083,0.5824,28.78,17.31
20465824,,,1.131,0.3653,14.24,21.69
20465826,,0.150,2.099,0.5454,7.69,21.09
20465853,,,1.629,0.3229,33.11,19.60
20465892,,,1.583,0.6607,25.43,19.66
20466053,,,1.869,0.3767,24.56,19.11
20466130,,,2.483,0.6103,75.63,18.25
20466191,,,1.688,0.3563,25.11,18.77
20466507,,,0.9755,0.5035,26.96,20.82
20466508,6.82,,1.61,0.4181,39.62,18.72
20467309,10.773,,1.534,0.5181,4.77,19.95
20467317,71.57,,1.948,0.4691,4.15,19.83
20467335,,,1.985,0.4831,10.49,19.12
20467336,21.8,,0.8451,0.3138,6.20,20.60
20467347,,,1.385,0.3176,55.83,20.64
20467351,6.48,,0.7277,0.5108,23.49,20.36
20467352,,0.470,0.949,0.3308,23.89,21.32
20467372,,0.874,2.065,0.8968,71.12,18.11
20467460,13.98,,0.6716,0.5819,5.94,19.07
20467475,13.53,,1.885,0.3503,22.03,18.81
20467527,,,1.727,0.3809,8.72,19.59
20467609,,,1.19,0.3367,15.29,19.45
20467835,,,1.613,0.2422,26.48,21.02
20467917,,,1.246,0.5695,15.34,19.96
20467963,15.69,,2.479,0.6160,14.32,18.74
20468004,,,1.69,0.2346,19.06,19.26
20468005,,,1.323,0.3658,3.72,21.18
20468117,,0.493,1.546,0.6382,21.77,19.18
20468446,,,1.79,0.2837,25.61,19.95
20468448,5.325,,2.648,0.5277,9.57,17.94
20468452,,,2.201,0.4682,8.22,19.19
20468462,,,1.706,0.3854,25.65,19.29
20468468,,0.197,0.7121,0.4982,22.13,21.98
20468481,6.78,,1.344,0.3510,25.37,20.05
20468540,,,0.8386,0.6051,27.27,19.45
20468541,,,1.198,0.4576,11.85,20.12
20468583,,,2.695,0.6819,6.38,18.10
20468681,,,2.314,0.4501,5.93,20.52
20468684,,,1.473,0.2828,23.01,19.68
20468727,,0.308,0.9042,0.4371,16.91,20.77
20468730,,,1.596,0.2443,33.62,18.39
20468738,12.12,,2.109,0.4451,4.72,19.39
20468741,,,2.105,0.4427,5.83,20.18
20468813,,,1.603,0.2597,5.75,21.78
20468837,,,1.628,0.2652,6.28,20.94
20468909,2.797,,0.98,0.3464,39.46,20.52
20468910,2.953,,1.007,0.4232,4.77,21.68
